Company_Name,Rating_Date,Rating_Agency,Rating,Sector,Industry_Group,Security_Name,TotalAsset ,TotalEquity ,TotalDebt,Revenue,EBITDA,NetIncome,cashFromOperations,FreeCashFlow,quickRatio,currentRatio,cashRatio,debtEquityRatio,debtEbitdaRatio,ebitdaInterestExpense,grossProfitMargin,ebitdaMargin ,netProfitMargin,ROA,ROE,assetTurnover,payablesTurnover,receivablesTurnover,inventoryTurnover
Adhi Commuter Properti PT,02/15/2021,PEFIN,BBB,Real Estate,Real Estate,ADCP IJ Equity," 4,676 "," 1,970 ", 443 , 977 , 144 , 133 ,-231 ,-363 ,0.0364,1.3372,0.0187,22.5072,3.0841,3.393,17.9732,14.7106,13.6357,6.3685,2.9472,0.2161,1.7821,11.1053,0.352
Adhi Karya Persero Tbk PT,04/28/2003,PEFIN,BBB,Industrials,Engineering&Construction,ADHI IJ Equity," 1,090 ", 213 , 474 ," 1,565 ", 59 , 42 ,-25 ,-27 ,0.2977,1.396,0.0591,222.5104,8.0958,1.0629,6.0951,3.7404,2.7046,21.9521,3.849,1.4231,6.2845,9.2895,4.5245
Adhi Karya Persero Tbk PT,04/15/2005,PEFIN,BBB,Industrials,Engineering&Construction,ADHI IJ Equity," 1,850 ", 335 , 669 ," 2,629 ", 147 , 70 ,-249 ,-265 ,0.4031,1.6091,0.1965,200.045,4.558,1.8099,6.6138,5.585,2.6814,25.5955,4.408,1.6439,5.3732,12.8836,21.5096
Adhi Karya Persero Tbk PT,06/07/2012,PEFIN,A,Industrials,Engineering&Construction,ADHI IJ Equity," 6,113 ", 990 , 692 ," 6,695 ", 562 , 182 , 519 , 508 ,0.3236,1.103,0.1137,69.8526,1.2309,6.4477,10.9693,8.3943,2.7201,19.7449,3.299,1.2128,2.2322,6.3283,91.4721
Adhi Karya Persero Tbk PT,04/13/2016,PEFIN,A,Industrials,Engineering&Construction,ADHI IJ Equity," 16,761 "," 5,162 "," 2,869 "," 9,390 ", 611 , 464 , 241 , 41 ,0.6956,1.5605,0.4586,55.5688,4.6936,5.3188,10.3801,6.5089,4.9383,13.6626,3.407,0.6899,1.4801,4.4866,57.1153
Adhi Karya Persero Tbk PT,09/30/2009,PEFIN,A,Industrials,Engineering&Construction,ADHI IJ Equity," 5,125 ", 600 , 821 ," 6,640 ", 224 , 81 ,-3 ,-55 ,0.374,1.1741,0.0923,136.794,3.6618,2.1084,8.197,3.3751,1.2272,14.609,1.7229,1.404,3.2192,7.0146,14.4368
Adhi Karya Persero Tbk PT,05/10/2007,PEFIN,A,Industrials,Engineering&Construction,ADHI IJ Equity," 2,870 ", 444 , 990 ," 4,329 ", 226 , 96 ,-163 ,-163 ,0.369,1.1949,0.081,222.7468,4.3746,1.5447,9.3056,5.2273,2.208,23.5563,3.6178,1.6385,4.6114,7.8062,23.4749
Adhi Karya Persero Tbk PT,06/08/2009,PEFIN,A,Industrials,Engineering&Construction,ADHI IJ Equity," 5,125 ", 600 , 821 ," 6,640 ", 224 , 81 ,-3 ,-55 ,0.374,1.1741,0.0923,136.794,3.6618,2.1084,8.197,3.3751,1.2272,14.609,1.7229,1.404,3.2192,7.0146,14.4368
Adi Sarana Armada Tbk PT,01/09/2020,PEFIN,A,Industrials,Commercial Services,ASSA IJ Equity," 4,849 "," 1,338 "," 2,910 "," 2,334 ", 874 , 110 ,-386 ,-449 ,0.4361,0.5261,0.2052,217.4756,3.3287,3.6427,31.8944,37.4536,4.7297,9.6927,2.4777,0.5239,29.8496,9.2866,48.0939
Aetra Air Jakarta PT,11/19/2014,Fitch Nat,A,Utilities,Water,806798Z IJ Equity," 1,679 ", 582 , 786 ," 1,102 ", 392 , 117 , 230 , 221 ,1.2905,1.4148,0.7137,135.1802,2.0035,4.3017,49.4751,35.6147,10.5974,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
